   0:0x0000	TokenComment	0:46	1:1:0	"// Copyright 2020-2024 Buf Technologies, Inc.\n"
   1:0x0001	TokenComment	46:49	2:1:0	"//\n"
   2:0x0002	TokenComment	49:116	3:1:0	"// Licensed under the Apache License, Version 2.0 (the \"License\");\n"
   3:0x0003	TokenComment	116:184	4:1:0	"// you may not use this file except in compliance with the License.\n"
   4:0x0004	TokenComment	184:227	5:1:0	"// You may obtain a copy of the License at\n"
   5:0x0005	TokenComment	227:230	6:1:0	"//\n"
   6:0x0006	TokenComment	230:281	7:1:0	"//      http://www.apache.org/licenses/LICENSE-2.0\n"
   7:0x0007	TokenComment	281:284	8:1:0	"//\n"
   8:0x0008	TokenComment	284:355	9:1:0	"// Unless required by applicable law or agreed to in writing, software\n"
   9:0x0009	TokenComment	355:424	10:1:0	"// distributed under the License is distributed on an \"AS IS\" BASIS,\n"
  10:0x000a	TokenComment	424:500	11:1:0	"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"
  11:0x000b	TokenComment	500:571	12:1:0	"// See the License for the specific language governing permissions and\n"
  12:0x000c	TokenComment	571:605	13:1:0	"// limitations under the License.\n"
  13:0x000d	TokenSpace	605:606	14:1:0	"\n"
  14:0x000e	TokenIdent	606:612	15:1:0	"syntax"
  15:0x000f	TokenSpace	612:613	15:7:6	" "
  16:0x0010	TokenPunct	613:614	15:8:7	"="
  17:0x0011	TokenSpace	614:615	15:9:8	" "
  18:0x0012	TokenString	615:623	15:10:9	"proto2"	"\"proto2\""
  19:0x0013	TokenPunct	623:624	15:18:17	";"
  20:0x0014	TokenSpace	624:626	15:19:18	"\n\n"
  21:0x0015	TokenIdent	626:633	17:1:0	"package"
  22:0x0016	TokenSpace	633:634	17:8:7	" "
  23:0x0017	TokenIdent	634:638	17:9:8	"test"
  24:0x0018	TokenPunct	638:639	17:13:12	";"
  25:0x0019	TokenSpace	639:641	17:14:13	"\n\n"
  26:0x001a	TokenIdent	641:647	19:1:0	"import"
  27:0x001b	TokenSpace	647:648	19:7:6	" "
  28:0x001c	TokenString	648:659	19:8:7	"foo.proto"	"\"foo.proto\""
  29:0x001d	TokenPunct	659:660	19:19:18	";"
  30:0x001e	TokenSpace	660:661	19:20:19	"\n"
  31:0x001f	TokenIdent	661:667	20:1:0	"import"
  32:0x0020	TokenSpace	667:668	20:7:6	" "
  33:0x0021	TokenIdent	668:672	20:8:7	"weak"
  34:0x0022	TokenSpace	672:673	20:12:11	" "
  35:0x0023	TokenString	673:685	20:13:12	"weak.proto"	"\"weak.proto\""
  36:0x0024	TokenPunct	685:686	20:25:24	";"
  37:0x0025	TokenSpace	686:687	20:26:25	"\n"
  38:0x0026	TokenIdent	687:693	21:1:0	"import"
  39:0x0027	TokenSpace	693:694	21:7:6	" "
  40:0x0028	TokenIdent	694:700	21:8:7	"public"
  41:0x0029	TokenSpace	700:701	21:14:13	" "
  42:0x002a	TokenString	701:715	21:15:14	"public.proto"	"\"public.proto\""
  43:0x002b	TokenPunct	715:716	21:29:28	";"
