   0:0x0000	TokenComment	0:46	1:1:0	"// Copyright 2020-2024 Buf Technologies, Inc.\n"
   1:0x0001	TokenComment	46:49	2:1:0	"//\n"
   2:0x0002	TokenComment	49:116	3:1:0	"// Licensed under the Apache License, Version 2.0 (the \"License\");\n"
   3:0x0003	TokenComment	116:184	4:1:0	"// you may not use this file except in compliance with the License.\n"
   4:0x0004	TokenComment	184:227	5:1:0	"// You may obtain a copy of the License at\n"
   5:0x0005	TokenComment	227:230	6:1:0	"//\n"
   6:0x0006	TokenComment	230:281	7:1:0	"//      http://www.apache.org/licenses/LICENSE-2.0\n"
   7:0x0007	TokenComment	281:284	8:1:0	"//\n"
   8:0x0008	TokenComment	284:355	9:1:0	"// Unless required by applicable law or agreed to in writing, software\n"
   9:0x0009	TokenComment	355:424	10:1:0	"// distributed under the License is distributed on an \"AS IS\" BASIS,\n"
  10:0x000a	TokenComment	424:500	11:1:0	"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"
  11:0x000b	TokenComment	500:571	12:1:0	"// See the License for the specific language governing permissions and\n"
  12:0x000c	TokenComment	571:605	13:1:0	"// limitations under the License.\n"
  13:0x000d	TokenSpace	605:606	14:1:0	"\n"
  14:0x000e	TokenIdent	606:612	15:1:0	"syntax"
  15:0x000f	TokenSpace	612:613	15:7:6	" "
  16:0x0010	TokenPunct	613:614	15:8:7	"="
  17:0x0011	TokenSpace	614:615	15:9:8	" "
  18:0x0012	TokenString	615:623	15:10:9	"proto2"	"\"proto2\""
  19:0x0013	TokenPunct	623:624	15:18:17	";"
  20:0x0014	TokenSpace	624:626	15:19:18	"\n\n"
  21:0x0015	TokenIdent	626:633	17:1:0	"package"
  22:0x0016	TokenSpace	633:634	17:8:7	" "
  23:0x0017	TokenIdent	634:638	17:9:8	"test"
  24:0x0018	TokenPunct	638:639	17:13:12	";"
  25:0x0019	TokenSpace	639:641	17:14:13	"\n\n"
  26:0x001a	TokenIdent	641:647	19:1:0	"import"
  27:0x001b	TokenSpace	647:648	19:7:6	" "
  28:0x001c	TokenString	648:659	19:8:7	"foo.proto"	"\"foo.proto\""
  29:0x001d	TokenSpace	659:660	19:19:18	" "
  30:0x001e	TokenPunct	660:684	19:20:19	"["
  31:0x001f	TokenPunct	661:674	19:21:20	"("
  32:0x0020	TokenIdent	662:665	19:22:21	"not"
  33:0x0021	TokenPunct	665:666	19:25:24	"."
  34:0x0022	TokenIdent	666:673	19:26:25	"allowed"
  35:0x0023	TokenPunct	661:674	19:21:20	")"
  36:0x0024	TokenSpace	674:675	19:34:33	" "
  37:0x0025	TokenPunct	675:676	19:35:34	"="
  38:0x0026	TokenSpace	676:677	19:36:35	" "
  39:0x0027	TokenString	677:683	19:37:36	"here"	"\"here\""
  40:0x0028	TokenPunct	660:684	19:20:19	"]"
  41:0x0029	TokenPunct	684:685	19:44:43	";"
  42:0x002a	TokenSpace	685:686	19:45:44	"\n"
  43:0x002b	TokenIdent	686:692	20:1:0	"import"
  44:0x002c	TokenSpace	692:693	20:7:6	" "
  45:0x002d	TokenIdent	693:697	20:8:7	"weak"
  46:0x002e	TokenSpace	697:698	20:12:11	" "
  47:0x002f	TokenString	698:710	20:13:12	"weak.proto"	"\"weak.proto\""
  48:0x0030	TokenSpace	710:711	20:25:24	" "
  49:0x0031	TokenPunct	711:735	20:26:25	"["
  50:0x0032	TokenPunct	712:725	20:27:26	"("
  51:0x0033	TokenIdent	713:716	20:28:27	"not"
  52:0x0034	TokenPunct	716:717	20:31:30	"."
  53:0x0035	TokenIdent	717:724	20:32:31	"allowed"
  54:0x0036	TokenPunct	712:725	20:27:26	")"
  55:0x0037	TokenSpace	725:726	20:40:39	" "
  56:0x0038	TokenPunct	726:727	20:41:40	"="
  57:0x0039	TokenSpace	727:728	20:42:41	" "
  58:0x003a	TokenString	728:734	20:43:42	"here"	"\"here\""
  59:0x003b	TokenPunct	711:735	20:26:25	"]"
  60:0x003c	TokenPunct	735:736	20:50:49	";"
  61:0x003d	TokenSpace	736:737	20:51:50	"\n"
  62:0x003e	TokenIdent	737:743	21:1:0	"import"
  63:0x003f	TokenSpace	743:744	21:7:6	" "
  64:0x0040	TokenIdent	744:750	21:8:7	"public"
  65:0x0041	TokenSpace	750:751	21:14:13	" "
  66:0x0042	TokenString	751:765	21:15:14	"public.proto"	"\"public.proto\""
  67:0x0043	TokenSpace	765:766	21:29:28	" "
  68:0x0044	TokenPunct	766:790	21:30:29	"["
  69:0x0045	TokenPunct	767:780	21:31:30	"("
  70:0x0046	TokenIdent	768:771	21:32:31	"not"
  71:0x0047	TokenPunct	771:772	21:35:34	"."
  72:0x0048	TokenIdent	772:779	21:36:35	"allowed"
  73:0x0049	TokenPunct	767:780	21:31:30	")"
  74:0x004a	TokenSpace	780:781	21:44:43	" "
  75:0x004b	TokenPunct	781:782	21:45:44	"="
  76:0x004c	TokenSpace	782:783	21:46:45	" "
  77:0x004d	TokenString	783:789	21:47:46	"here"	"\"here\""
  78:0x004e	TokenPunct	766:790	21:30:29	"]"
  79:0x004f	TokenPunct	790:791	21:54:53	";"
