   0:0x0000	TokenComment	0:46	1:1:0	"// Copyright 2020-2024 Buf Technologies, Inc.\n"
   1:0x0001	TokenComment	46:49	2:1:0	"//\n"
   2:0x0002	TokenComment	49:116	3:1:0	"// Licensed under the Apache License, Version 2.0 (the \"License\");\n"
   3:0x0003	TokenComment	116:184	4:1:0	"// you may not use this file except in compliance with the License.\n"
   4:0x0004	TokenComment	184:227	5:1:0	"// You may obtain a copy of the License at\n"
   5:0x0005	TokenComment	227:230	6:1:0	"//\n"
   6:0x0006	TokenComment	230:281	7:1:0	"//      http://www.apache.org/licenses/LICENSE-2.0\n"
   7:0x0007	TokenComment	281:284	8:1:0	"//\n"
   8:0x0008	TokenComment	284:355	9:1:0	"// Unless required by applicable law or agreed to in writing, software\n"
   9:0x0009	TokenComment	355:424	10:1:0	"// distributed under the License is distributed on an \"AS IS\" BASIS,\n"
  10:0x000a	TokenComment	424:500	11:1:0	"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"
  11:0x000b	TokenComment	500:571	12:1:0	"// See the License for the specific language governing permissions and\n"
  12:0x000c	TokenComment	571:605	13:1:0	"// limitations under the License.\n"
  13:0x000d	TokenSpace	605:606	14:1:0	"\n"
  14:0x000e	TokenIdent	606:612	15:1:0	"syntax"
  15:0x000f	TokenSpace	612:613	15:7:6	" "
  16:0x0010	TokenPunct	613:614	15:8:7	"="
  17:0x0011	TokenSpace	614:615	15:9:8	" "
  18:0x0012	TokenString	615:623	15:10:9	"proto2"	"\"proto2\""
  19:0x0013	TokenPunct	623:624	15:18:17	";"
  20:0x0014	TokenSpace	624:626	15:19:18	"\n\n"
  21:0x0015	TokenIdent	626:633	17:1:0	"package"
  22:0x0016	TokenSpace	633:634	17:8:7	" "
  23:0x0017	TokenIdent	634:638	17:9:8	"test"
  24:0x0018	TokenPunct	638:639	17:13:12	";"
  25:0x0019	TokenSpace	639:641	17:14:13	"\n\n"
  26:0x001a	TokenIdent	641:647	19:1:0	"import"
  27:0x001b	TokenSpace	647:648	19:7:6	" "
  28:0x001c	TokenIdent	648:650	19:8:7	"my"
  29:0x001d	TokenPunct	650:651	19:10:9	"."
  30:0x001e	TokenIdent	651:656	19:11:10	"Proto"
  31:0x001f	TokenPunct	656:657	19:16:15	";"
  32:0x0020	TokenSpace	657:658	19:17:16	"\n"
  33:0x0021	TokenIdent	658:664	20:1:0	"import"
  34:0x0022	TokenSpace	664:665	20:7:6	" "
  35:0x0023	TokenIdent	665:669	20:8:7	"weak"
  36:0x0024	TokenSpace	669:670	20:12:11	" "
  37:0x0025	TokenIdent	670:672	20:13:12	"my"
  38:0x0026	TokenPunct	672:673	20:15:14	"."
  39:0x0027	TokenIdent	673:678	20:16:15	"Proto"
  40:0x0028	TokenPunct	678:679	20:21:20	";"
  41:0x0029	TokenSpace	679:680	20:22:21	"\n"
  42:0x002a	TokenIdent	680:686	21:1:0	"import"
  43:0x002b	TokenSpace	686:687	21:7:6	" "
  44:0x002c	TokenIdent	687:693	21:8:7	"public"
  45:0x002d	TokenSpace	693:694	21:14:13	" "
  46:0x002e	TokenIdent	694:696	21:15:14	"my"
  47:0x002f	TokenPunct	696:697	21:17:16	"."
  48:0x0030	TokenIdent	697:702	21:18:17	"Proto"
  49:0x0031	TokenPunct	702:703	21:23:22	";"
