   0:0x0000	TokenComment	0:46	1:1:0	"// Copyright 2020-2024 Buf Technologies, Inc.\n"
   1:0x0001	TokenComment	46:49	2:1:0	"//\n"
   2:0x0002	TokenComment	49:116	3:1:0	"// Licensed under the Apache License, Version 2.0 (the \"License\");\n"
   3:0x0003	TokenComment	116:184	4:1:0	"// you may not use this file except in compliance with the License.\n"
   4:0x0004	TokenComment	184:227	5:1:0	"// You may obtain a copy of the License at\n"
   5:0x0005	TokenComment	227:230	6:1:0	"//\n"
   6:0x0006	TokenComment	230:281	7:1:0	"//      http://www.apache.org/licenses/LICENSE-2.0\n"
   7:0x0007	TokenComment	281:284	8:1:0	"//\n"
   8:0x0008	TokenComment	284:355	9:1:0	"// Unless required by applicable law or agreed to in writing, software\n"
   9:0x0009	TokenComment	355:424	10:1:0	"// distributed under the License is distributed on an \"AS IS\" BASIS,\n"
  10:0x000a	TokenComment	424:500	11:1:0	"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"
  11:0x000b	TokenComment	500:571	12:1:0	"// See the License for the specific language governing permissions and\n"
  12:0x000c	TokenComment	571:605	13:1:0	"// limitations under the License.\n"
  13:0x000d	TokenSpace	605:606	14:1:0	"\n"
  14:0x000e	TokenIdent	606:612	15:1:0	"syntax"
  15:0x000f	TokenSpace	612:613	15:7:6	" "
  16:0x0010	TokenPunct	613:614	15:8:7	"="
  17:0x0011	TokenSpace	614:615	15:9:8	" "
  18:0x0012	TokenString	615:623	15:10:9	"proto2"	"\"proto2\""
  19:0x0013	TokenPunct	623:624	15:18:17	";"
  20:0x0014	TokenSpace	624:626	15:19:18	"\n\n"
  21:0x0015	TokenIdent	626:633	17:1:0	"package"
  22:0x0016	TokenSpace	633:634	17:8:7	" "
  23:0x0017	TokenIdent	634:638	17:9:8	"test"
  24:0x0018	TokenPunct	638:639	17:13:12	";"
  25:0x0019	TokenSpace	639:641	17:14:13	"\n\n"
  26:0x001a	TokenIdent	641:648	19:1:0	"message"
  27:0x001b	TokenSpace	648:649	19:8:7	" "
  28:0x001c	TokenIdent	649:652	19:9:8	"Foo"
  29:0x001d	TokenSpace	652:653	19:12:11	" "
  30:0x001e	TokenPunct	653:714	19:13:12	"{"
  31:0x001f	TokenSpace	654:659	19:14:13	"\n    "
  32:0x0020	TokenIdent	659:667	20:5:4	"reserved"
  33:0x0021	TokenSpace	667:668	20:13:12	" "
  34:0x0022	TokenString	668:679	20:14:13	"foobar"	"\"foo\""
  35:0x0023	TokenSpace	673:674	20:19:18	" "
  36:0x0024	TokenString	668:679	20:14:13	"bar"	"\"bar\""
  37:0x0025	TokenPunct	679:680	20:25:24	";"
  38:0x0026	TokenSpace	680:685	20:26:25	"\n    "
  39:0x0027	TokenIdent	685:693	21:5:4	"reserved"
  40:0x0028	TokenSpace	693:694	21:13:12	" "
  41:0x0029	TokenString	694:701	21:14:13	"foo\n"	"\"foo\\n\""
  42:0x002a	TokenPunct	701:702	21:21:20	","
  43:0x002b	TokenSpace	702:703	21:22:21	" "
  44:0x002c	TokenString	703:711	21:23:22	"bar"	"\"b\\x61r\""
  45:0x002d	TokenPunct	711:712	21:31:30	";"
  46:0x002e	TokenSpace	712:713	21:32:31	"\n"
  47:0x002f	TokenPunct	653:714	19:13:12	"}"
