   0:0x0000	TokenComment	0:46	1:1:0	"// Copyright 2020-2024 Buf Technologies, Inc.\n"
   1:0x0001	TokenComment	46:49	2:1:0	"//\n"
   2:0x0002	TokenComment	49:116	3:1:0	"// Licensed under the Apache License, Version 2.0 (the \"License\");\n"
   3:0x0003	TokenComment	116:184	4:1:0	"// you may not use this file except in compliance with the License.\n"
   4:0x0004	TokenComment	184:227	5:1:0	"// You may obtain a copy of the License at\n"
   5:0x0005	TokenComment	227:230	6:1:0	"//\n"
   6:0x0006	TokenComment	230:281	7:1:0	"//      http://www.apache.org/licenses/LICENSE-2.0\n"
   7:0x0007	TokenComment	281:284	8:1:0	"//\n"
   8:0x0008	TokenComment	284:355	9:1:0	"// Unless required by applicable law or agreed to in writing, software\n"
   9:0x0009	TokenComment	355:424	10:1:0	"// distributed under the License is distributed on an \"AS IS\" BASIS,\n"
  10:0x000a	TokenComment	424:500	11:1:0	"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"
  11:0x000b	TokenComment	500:571	12:1:0	"// See the License for the specific language governing permissions and\n"
  12:0x000c	TokenComment	571:605	13:1:0	"// limitations under the License.\n"
  13:0x000d	TokenSpace	605:606	14:1:0	"\n"
  14:0x000e	TokenIdent	606:612	15:1:0	"syntax"
  15:0x000f	TokenSpace	612:613	15:7:6	" "
  16:0x0010	TokenPunct	613:614	15:8:7	"="
  17:0x0011	TokenSpace	614:615	15:9:8	" "
  18:0x0012	TokenString	615:623	15:10:9	"proto2"	"\"proto2\""
  19:0x0013	TokenPunct	623:624	15:18:17	";"
  20:0x0014	TokenSpace	624:626	15:19:18	"\n\n"
  21:0x0015	TokenIdent	626:633	17:1:0	"package"
  22:0x0016	TokenSpace	633:634	17:8:7	" "
  23:0x0017	TokenIdent	634:638	17:9:8	"test"
  24:0x0018	TokenPunct	638:639	17:13:12	";"
  25:0x0019	TokenSpace	639:641	17:14:13	"\n\n"
  26:0x001a	TokenIdent	641:648	19:1:0	"message"
  27:0x001b	TokenSpace	648:649	19:8:7	" "
  28:0x001c	TokenIdent	649:652	19:9:8	"Foo"
  29:0x001d	TokenSpace	652:653	19:12:11	" "
  30:0x001e	TokenPunct	653:851	19:13:12	"{"
  31:0x001f	TokenSpace	654:659	19:14:13	"\n    "
  32:0x0020	TokenIdent	659:669	20:5:4	"extensions"
  33:0x0021	TokenSpace	669:670	20:15:14	" "
  34:0x0022	TokenNumber	670:671	20:16:15	1	"1"
  35:0x0023	TokenPunct	671:672	20:17:16	";"
  36:0x0024	TokenSpace	672:677	20:18:17	"\n    "
  37:0x0025	TokenIdent	677:687	21:5:4	"extensions"
  38:0x0026	TokenSpace	687:688	21:15:14	" "
  39:0x0027	TokenNumber	688:689	21:16:15	1	"1"
  40:0x0028	TokenSpace	689:690	21:17:16	" "
  41:0x0029	TokenIdent	690:692	21:18:17	"to"
  42:0x002a	TokenSpace	692:693	21:20:19	" "
  43:0x002b	TokenNumber	693:694	21:21:20	2	"2"
  44:0x002c	TokenPunct	694:695	21:22:21	";"
  45:0x002d	TokenSpace	695:700	21:23:22	"\n    "
  46:0x002e	TokenIdent	700:710	22:5:4	"extensions"
  47:0x002f	TokenSpace	710:711	22:15:14	" "
  48:0x0030	TokenPunct	711:712	22:16:15	"-"
  49:0x0031	TokenNumber	712:713	22:17:16	5	"5"
  50:0x0032	TokenSpace	713:714	22:18:17	" "
  51:0x0033	TokenIdent	714:716	22:19:18	"to"
  52:0x0034	TokenSpace	716:717	22:21:20	" "
  53:0x0035	TokenNumber	717:721	22:22:21	32	"0x20"
  54:0x0036	TokenPunct	721:722	22:26:25	";"
  55:0x0037	TokenSpace	722:727	22:27:26	"\n    "
  56:0x0038	TokenIdent	727:737	23:5:4	"extensions"
  57:0x0039	TokenSpace	737:738	23:15:14	" "
  58:0x003a	TokenNumber	738:739	23:16:15	0	"0"
  59:0x003b	TokenSpace	739:740	23:17:16	" "
