   0:0x0000	TokenComment	0:46	1:1:0	"// Copyright 2020-2024 Buf Technologies, Inc.\n"
   1:0x0001	TokenComment	46:49	2:1:0	"//\n"
   2:0x0002	TokenComment	49:116	3:1:0	"// Licensed under the Apache License, Version 2.0 (the \"License\");\n"
   3:0x0003	TokenComment	116:184	4:1:0	"// you may not use this file except in compliance with the License.\n"
   4:0x0004	TokenComment	184:227	5:1:0	"// You may obtain a copy of the License at\n"
   5:0x0005	TokenComment	227:230	6:1:0	"//\n"
   6:0x0006	TokenComment	230:281	7:1:0	"//      http://www.apache.org/licenses/LICENSE-2.0\n"
   7:0x0007	TokenComment	281:284	8:1:0	"//\n"
   8:0x0008	TokenComment	284:355	9:1:0	"// Unless required by applicable law or agreed to in writing, software\n"
   9:0x0009	TokenComment	355:424	10:1:0	"// distributed under the License is distributed on an \"AS IS\" BASIS,\n"
  10:0x000a	TokenComment	424:500	11:1:0	"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"
  11:0x000b	TokenComment	500:571	12:1:0	"// See the License for the specific language governing permissions and\n"
  12:0x000c	TokenComment	571:605	13:1:0	"// limitations under the License.\n"
  13:0x000d	TokenSpace	605:606	14:1:0	"\n"
  14:0x000e	TokenIdent	606:612	15:1:0	"syntax"
  15:0x000f	TokenSpace	612:613	15:7:6	" "
  16:0x0010	TokenPunct	613:614	15:8:7	"="
  17:0x0011	TokenSpace	614:615	15:9:8	" "
  18:0x0012	TokenString	615:623	15:10:9	"proto2"	"\"proto2\""
  19:0x0013	TokenPunct	623:624	15:18:17	";"
  20:0x0014	TokenSpace	624:626	15:19:18	"\n\n"
  21:0x0015	TokenIdent	626:633	17:1:0	"package"
  22:0x0016	TokenSpace	633:634	17:8:7	" "
  23:0x0017	TokenIdent	634:638	17:9:8	"test"
  24:0x0018	TokenPunct	638:639	17:13:12	";"
  25:0x0019	TokenSpace	639:641	17:14:13	"\n\n"
  26:0x001a	TokenIdent	641:648	19:1:0	"message"
  27:0x001b	TokenSpace	648:649	19:8:7	" "
  28:0x001c	TokenIdent	649:652	19:9:8	"Foo"
  29:0x001d	TokenSpace	652:653	19:12:11	" "
  30:0x001e	TokenPunct	653:729	19:13:12	"{"
  31:0x001f	TokenSpace	654:659	19:14:13	"\n    "
  32:0x0020	TokenIdent	659:669	20:5:4	"extensions"
  33:0x0021	TokenSpace	669:670	20:15:14	" "
  34:0x0022	TokenNumber	670:671	20:16:15	1	"1"
  35:0x0023	TokenSpace	671:672	20:17:16	" "
  36:0x0024	TokenPunct	672:690	20:18:17	"["
  37:0x0025	TokenPunct	673:682	20:19:18	"("
  38:0x0026	TokenIdent	674:681	20:20:19	"allowed"
  39:0x0027	TokenPunct	673:682	20:19:18	")"
  40:0x0028	TokenSpace	682:683	20:28:27	" "
  41:0x0029	TokenPunct	683:684	20:29:28	"="
  42:0x002a	TokenSpace	684:685	20:30:29	" "
  43:0x002b	TokenIdent	685:689	20:31:30	"true"
  44:0x002c	TokenPunct	672:690	20:18:17	"]"
  45:0x002d	TokenPunct	690:691	20:36:35	";"
  46:0x002e	TokenSpace	691:696	20:37:36	"\n    "
  47:0x002f	TokenIdent	696:704	21:5:4	"reserved"
  48:0x0030	TokenSpace	704:705	21:13:12	" "
  49:0x0031	TokenNumber	705:706	21:14:13	1	"1"
  50:0x0032	TokenSpace	706:707	21:15:14	" "
  51:0x0033	TokenPunct	707:726	21:16:15	"["
  52:0x0034	TokenPunct	708:717	21:17:16	"("
  53:0x0035	TokenIdent	709:716	21:18:17	"allowed"
  54:0x0036	TokenPunct	708:717	21:17:16	")"
  55:0x0037	TokenSpace	717:718	21:26:25	" "
  56:0x0038	TokenPunct	718:719	21:27:26	"="
  57:0x0039	TokenSpace	719:720	21:28:27	" "
  58:0x003a	TokenIdent	720:725	21:29:28	"false"
  59:0x003b	TokenPunct	707:726	21:16:15	"]"
  60:0x003c	TokenPunct	726:727	21:35:34	";"
  61:0x003d	TokenSpace	727:728	21:36:35	"\n"
  62:0x003e	TokenPunct	653:729	19:13:12	"}"
