#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:014		001:001		"//% keywords:\n"
1		Comment		Comment		014:070		002:001		"//%   bracket: [\"(\", \")\", \"[\", \"]\", \"{\", \"}\", \"<\", \">\"]\n"
2		Comment		Comment		070:097		003:001		"//%   line_comment: [\"//\"]\n"
3		Space		Unknown		097:098		004:001		"\n"
4		Keyword		Braces		098:107		005:001		"{"		close:Token(8)
5		Space		Unknown		099:104		005:002		"\n    "
6		Keyword		LBracket		104:105		006:005		"["
7		Space		Unknown		105:106		006:006		"\n"
8		Keyword		Braces		098:107		005:001		"}"		open:Token(4)
9		Space		Unknown		107:112		007:002		"\n    "
10		Keyword		RBracket		112:113		008:005		"]"
