#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:013		001:001		"//% keywords:"
1		Space		Unknown		013:014		001:014		"\n"
2		Comment		Comment		014:040		002:001		"//%   line_comment: [\"//\"]"
3		Space		Unknown		040:041		002:027		"\n"
4		Comment		Comment		041:074		003:001		"//%   block_comment: [\"/*\", \"*/\"]"
5		Space		Unknown		074:075		003:034		"\n"
6		Space		Unknown		075:076		004:001		"\n"
7		Comment		Comment		076:099		005:001		"// Single line comment."
8		Space		Unknown		099:100		005:024		"\n"
9		Comment		Comment		100:120		006:001		"//go:style-intrinsic"
10		Space		Unknown		120:121		006:021		"\n"
11		Comment		BlockComment		121:148		007:001		"/*\n    Multiline comment\n*/"
12		Space		Unknown		148:149		009:003		"\n"
13		Space		Unknown		149:150		010:001		"\n"
14		Comment		Comment		150:152		011:001		"//"
15		Space		Unknown		152:153		011:003		"\n"
16		Comment		BlockComment		153:157		012:001		"/**/"
17		Space		Unknown		157:158		012:005		" "
18		Comment		Comment		158:166		012:006		"// Empty"
19		Space		Unknown		166:167		012:014		"\n"
