#		kind		keyword		offsets		linecol		text
0		Unrecognized		Unknown		000:003		001:001		"\ufeff"
1		Comment		Comment		003:048		001:001		"// Copyright 2020-2024 Buf Technologies, Inc."
2		Space		Unknown		048:049		001:046		"\n"
3		Comment		Comment		049:051		002:001		"//"
4		Space		Unknown		051:052		002:003		"\n"
5		Comment		Comment		052:118		003:001		"// Licensed under the Apache License, Version 2.0 (the \"License\");"
6		Space		Unknown		118:119		003:067		"\n"
7		Comment		Comment		119:186		004:001		"// you may not use this file except in compliance with the License."
8		Space		Unknown		186:187		004:068		"\n"
9		Comment		Comment		187:229		005:001		"// You may obtain a copy of the License at"
10		Space		Unknown		229:230		005:043		"\n"
11		Comment		Comment		230:232		006:001		"//"
12		Space		Unknown		232:233		006:003		"\n"
13		Comment		Comment		233:283		007:001		"//      http://www.apache.org/licenses/LICENSE-2.0"
14		Space		Unknown		283:284		007:051		"\n"
15		Comment		Comment		284:286		008:001		"//"
16		Space		Unknown		286:287		008:003		"\n"
17		Comment		Comment		287:357		009:001		"// Unless required by applicable law or agreed to in writing, software"
18		Space		Unknown		357:358		009:071		"\n"
19		Comment		Comment		358:426		010:001		"// distributed under the License is distributed on an \"AS IS\" BASIS,"
20		Space		Unknown		426:427		010:069		"\n"
21		Comment		Comment		427:502		011:001		"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
22		Space		Unknown		502:503		011:076		"\n"
23		Comment		Comment		503:573		012:001		"// See the License for the specific language governing permissions and"
24		Space		Unknown		573:574		012:071		"\n"
25		Comment		Comment		574:607		013:001		"// limitations under the License."
26		Space		Unknown		607:608		013:034		"\n"
27		Space		Unknown		608:609		014:001		"\n"
28		Comment		Comment		609:622		015:001		"//% keywords:"
29		Space		Unknown		622:623		015:014		"\n"
30		Comment		Comment		623:643		016:001		"//%   soft: [syntax]"
31		Space		Unknown		643:644		016:021		"\n"
32		Comment		Comment		644:666		017:001		"//%   hard: [\"=\", \";\"]"
33		Space		Unknown		666:667		017:023		"\n"
34		Comment		Comment		667:693		018:001		"//%   line_comment: [\"//\"]"
35		Space		Unknown		693:694		018:027		"\n"
36		Ident		Syntax		694:700		019:001		"syntax"
37		Space		Unknown		700:701		019:007		" "
38		Keyword		Assign		701:702		019:008		"="
39		Space		Unknown		702:703		019:009		" "
40		String		Unknown		703:711		019:010		"\"proto2\""		string:"proto2"
41		Keyword		Semi		711:712		019:018		";"
