#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:014		001:001		"//% keywords:\n"
1		Comment		Comment		014:041		002:001		"//%   line_comment: [\"//\"]\n"
2		Comment		Comment		041:045		003:001		"//%\n"
3		Comment		Comment		045:075		004:001		"//% require_ascii_ident: true\n"
4		Ident		Unknown		075:081		005:001		"kitty_"
5		Unrecognized		Unknown		081:091		005:007		"🐈\u200d⬛"
6		Space		Unknown		091:092		005:009		"\n"
7		Ident		Unknown		092:098		006:001		"黑猫"
8		Space		Unknown		098:100		006:005		" \n"
9		Ident		Unknown		100:112		007:001		"काली"
10		Space		Unknown		112:113		007:005		" "
11		Ident		Unknown		113:131		007:006		"बिल्ली"
12		Space		Unknown		131:132		007:011		"\n"
13		Ident		Unknown		132:145		008:001		"黑猫_suffix"
