#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:014		001:001		"//% keywords:\n"
1		Comment		Comment		014:044		002:001		"//%   soft: [string, message]\n"
2		Comment		Comment		044:071		003:001		"//%   line_comment: [\"//\"]\n"
3		Ident		Unknown		071:072		004:001		"a"
4		Space		Unknown		072:073		004:002		" "
5		Ident		Unknown		073:074		004:003		"b"
6		Space		Unknown		074:075		004:004		" "
7		Ident		Unknown		075:076		004:005		"c"
8		Space		Unknown		076:077		004:006		"\n"
9		Ident		String		077:083		005:001		"string"
10		Space		Unknown		083:084		005:007		" "
11		Ident		Message		084:091		005:008		"message"
12		Space		Unknown		091:092		005:015		"\n"
13		Ident		Unknown		092:099		006:001		"foo_bar"
14		Space		Unknown		099:100		006:008		" "
15		Ident		Unknown		100:106		006:009		"fooBar"
16		Space		Unknown		106:107		006:015		"\n"
17		Ident		Unknown		107:108		007:001		"_"
18		Space		Unknown		108:109		007:002		" "
19		Ident		Unknown		109:111		007:003		"__"
20		Space		Unknown		111:112		007:005		" "
21		Ident		Unknown		112:116		007:006		"____"
22		Space		Unknown		116:117		007:010		"\n"
23		Ident		Unknown		117:126		008:001		"__snake__"
24		Space		Unknown		126:127		008:010		"\n"
25		Ident		Unknown		127:136		009:001		"SCREAMING"
26		Space		Unknown		136:137		009:010		"\n"
27		Ident		Unknown		137:163		010:001		"abcdefghijklmnopqrstuvwxyz"
28		Space		Unknown		163:164		010:027		"\n"
29		Ident		Unknown		164:190		011:001		"ABCDEFGHIJKLMNOPQRSTUVWXYZ"
30		Space		Unknown		190:191		011:027		"\n"
31		Ident		Unknown		191:202		012:001		"_0123456789"
32		Space		Unknown		202:203		012:012		"\n"
33		Ident		Unknown		203:206		013:001		"_0_"
