#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:013		001:001		"//% keywords:"
1		Keyword		Newline		013:014		001:014		"\n"
2		Comment		Comment		014:056		002:001		"//%   hard: [\"(\", \")\", \",\", \"+\", \"=\", \";\"]"
3		Keyword		Newline		056:057		002:043		"\n"
4		Comment		Comment		057:083		003:001		"//%   line_comment: [\"//\"]"
5		Keyword		Newline		083:084		003:027		"\n"
6		Comment		Comment		084:087		004:001		"//%"
7		Keyword		Newline		087:088		004:004		"\n"
8		Comment		Comment		088:105		005:001		"//% emit_newline:"
9		Keyword		Newline		105:106		005:018		"\n"
10		Comment		Comment		106:148		006:001		"//%   not_after: [\"(\", \",\", \"+\", \"=\", \";\"]"
11		Keyword		Newline		148:149		006:043		"\n"
12		Comment		Comment		149:182		007:001		"//%   not_before: [\")\", \"+\", \"=\"]"
13		Keyword		Newline		182:183		007:034		"\n"
14		Keyword		Newline		183:184		008:001		"\n"
15		Ident		Unknown		184:185		009:001		"x"
16		Space		Unknown		185:186		009:002		" "
17		Keyword		Assign		186:187		009:003		"="
18		Space		Unknown		187:188		009:004		" "
19		Number		Unknown		188:189		009:005		"1"		int:1/10/1
20		Keyword		Semi		189:190		009:006		";"
21		Space		Unknown		190:191		009:007		"\n"
22		Ident		Unknown		191:192		010:001		"y"
23		Space		Unknown		192:193		010:002		" "
24		Keyword		Assign		193:194		010:003		"="
25		Space		Unknown		194:195		010:004		" "
26		Ident		Unknown		195:196		010:005		"x"
27		Space		Unknown		196:197		010:006		" "
28		Keyword		Add		197:198		010:007		"+"
29		Space		Unknown		198:199		010:008		"\n"
30		Space		Unknown		199:203		011:001		"    "
31		Ident		Unknown		203:204		011:005		"z"
32		Keyword		Newline		204:205		011:006		"\n"
33		Ident		Unknown		205:206		012:001		"y"
34		Space		Unknown		206:207		012:002		" "
35		Keyword		Assign		207:208		012:003		"="
36		Space		Unknown		208:209		012:004		" "
37		Ident		Unknown		209:210		012:005		"x"
38		Space		Unknown		210:211		012:006		"\n"
39		Space		Unknown		211:215		013:001		"    "
40		Keyword		Add		215:216		013:005		"+"
41		Space		Unknown		216:217		013:006		" "
42		Ident		Unknown		217:218		013:007		"z"
43		Keyword		Newline		218:219		013:008		"\n"
44		Ident		Unknown		219:220		014:001		"y"
45		Space		Unknown		220:221		014:002		" "
46		Keyword		Assign		221:222		014:003		"="
47		Space		Unknown		222:223		014:004		" "
48		Keyword		LParen		223:224		014:005		"("
49		Space		Unknown		224:225		014:006		"\n"
50		Space		Unknown		225:229		015:001		"    "
51		Ident		Unknown		229:230		015:005		"x"
52		Space		Unknown		230:231		015:006		" "
53		Keyword		Add		231:232		015:007		"+"
54		Space		Unknown		232:233		015:008		" "
55		Ident		Unknown		233:234		015:009		"z"
56		Keyword		Comma		234:235		015:010		","
57		Space		Unknown		235:236		015:011		"\n"
58		Space		Unknown		236:240		016:001		"    "
59		Ident		Unknown		240:241		016:005		"x"
60		Keyword		Comma		241:242		016:006		","
61		Space		Unknown		242:243		016:007		"\n"
62		Space		Unknown		243:247		017:001		"    "
63		Ident		Unknown		247:248		017:005		"z"
64		Space		Unknown		248:249		017:006		"\n"
65		Keyword		RParen		249:250		018:001		")"
66		Keyword		Newline		250:251		018:002		"\n"
