#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:013		001:001		"//% keywords:"
1		Space		Unknown		013:014		001:014		"\n"
2		Comment		Comment		014:081		002:001		"//%   hard: [\";\", \",\", \"/\", \":\", \"=\", \"-\", \".\", \"!\", \"^\", \"*\", \"+\"]"
3		Space		Unknown		081:082		002:068		"\n"
4		Comment		Comment		082:108		003:001		"//%   line_comment: [\"//\"]"
5		Space		Unknown		108:109		003:027		"\n"
6		Keyword		Semi		109:110		004:001		";"
7		Space		Unknown		110:111		004:002		" "
8		Keyword		Comma		111:112		004:003		","
9		Space		Unknown		112:113		004:004		" "
10		Keyword		Div		113:114		004:005		"/"
11		Space		Unknown		114:115		004:006		" "
12		Keyword		Colon		115:116		004:007		":"
13		Space		Unknown		116:117		004:008		" "
14		Keyword		Assign		117:118		004:009		"="
15		Space		Unknown		118:119		004:010		" "
16		Keyword		Sub		119:120		004:011		"-"
17		Space		Unknown		120:121		004:012		" "
18		Keyword		Sub		121:122		004:013		"-"
19		Number		Unknown		122:124		004:014		"10"		int:10/10/1
20		Space		Unknown		124:125		004:016		" "
21		Ident		Unknown		125:126		004:017		"a"
22		Keyword		Dot		126:127		004:018		"."
23		Ident		Unknown		127:128		004:019		"b"
24		Keyword		Dot		128:129		004:020		"."
25		Ident		Unknown		129:130		004:021		"c"
26		Space		Unknown		130:131		004:022		"\n"
27		Keyword		Bang		131:132		005:001		"!"
28		Space		Unknown		132:133		005:002		" "
29		Unrecognized		Unknown		133:134		005:003		"@"
30		Space		Unknown		134:135		005:004		" "
31		Unrecognized		Unknown		135:136		005:005		"#"
32		Space		Unknown		136:137		005:006		" "
33		Unrecognized		Unknown		137:138		005:007		"$"
34		Space		Unknown		138:139		005:008		" "
35		Unrecognized		Unknown		139:140		005:009		"%"
36		Space		Unknown		140:141		005:010		" "
37		Keyword		Xor		141:142		005:011		"^"
38		Space		Unknown		142:143		005:012		" "
39		Unrecognized		Unknown		143:144		005:013		"&"
40		Space		Unknown		144:145		005:014		" "
41		Keyword		Mul		145:146		005:015		"*"
42		Space		Unknown		146:147		005:016		" "
43		Keyword		Add		147:148		005:017		"+"
44		Space		Unknown		148:149		005:018		" "
45		Ident		Unknown		149:150		005:019		"_"
46		Space		Unknown		150:151		005:020		"\n"
