#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:014		001:001		"//% keywords:\n"
1		Comment		Comment		014:041		002:001		"//%   line_comment: [\"//\"]\n"
2		Comment		Comment		041:044		003:001		"//\n"
3		Comment		Comment		044:057		004:001		"//% escapes:\n"
4		Comment		Comment		057:080		005:001		"//%     extended: true\n"
5		Comment		Comment		080:098		006:001		"//%     ask: true\n"
6		Comment		Comment		098:118		007:001		"//%     octal: true\n"
7		Comment		Comment		118:142		008:001		"//%     partial_x: true\n"
8		Comment		Comment		142:168		009:001		"//%     uppercase_x: true\n"
9		Comment		Comment		168:200		010:001		"//%     old_style_unicode: true\n"
10		String		Unknown		200:639		011:001		"\"\""		string:"foobarA string with \"\"Another with ''Some whitespace:\n\r\t\vHex escaped bytes: \x01\x02\x03\x04A string with a literal back-slash \\A string that has a NULL character in hex: \x00Another with a NULL in octal: \x00A unicode right arrow can use unicode escape →?Long unicode escape can represent emojis 🎉'"		close:Token(34)
11		Space		Unknown		202:203		011:003		"\n"
12		String		Unknown		203:205		012:001		"''"		string:""
13		Space		Unknown		205:206		012:003		"\n"
14		String		Unknown		206:211		013:001		"\"foo\""		string:"foo"
15		Space		Unknown		211:212		013:006		"\n"
16		String		Unknown		212:217		014:001		"'bar'"		string:"bar"
17		Space		Unknown		217:218		014:006		"\n"
18		String		Unknown		218:257		015:001		"\"A string with \\\"nested quotes\\\" in it\""		string:"A string with \"\""
19		Space		Unknown		257:258		015:040		"\n"
20		String		Unknown		258:297		016:001		"'Another with \\'nested quotes\\' inside'"		string:"Another with ''"
21		Space		Unknown		297:298		016:040		"\n"
22		String		Unknown		298:324		017:001		"\"Some whitespace:\\n\\r\\t\\v\""		string:"Some whitespace:\n\r\t\v"
23		Space		Unknown		324:325		017:027		"\n"
24		String		Unknown		325:360		018:001		"'Hex escaped bytes: \\x01\\x2\\X03\\X4'"		string:"Hex escaped bytes: \x01\x02\x03\x04"
25		Space		Unknown		360:361		018:036		"\n"
26		String		Unknown		361:406		019:001		"'A string with a literal back-slash \\\\ in it'"		string:"A string with a literal back-slash \\"
27		Space		Unknown		406:407		019:046		"\n"
28		String		Unknown		407:456		020:001		"\"A string that has a NULL character in hex: \\x00\""		string:"A string that has a NULL character in hex: \x00"
29		Space		Unknown		456:457		020:050		"\n"
30		String		Unknown		457:492		021:001		"\"Another with a NULL in octal: \\00\""		string:"Another with a NULL in octal: \x00"
31		Space		Unknown		492:493		021:036		"\n"
32		String		Unknown		493:559		022:001		"\"A unicode right arrow can use unicode escape \\u2192 or not →\\?\""		string:"A unicode right arrow can use unicode escape →?"
33		Space		Unknown		559:560		022:065		"\n"
34		String		Unknown		200:639		011:001		"'Long unicode escape can represent emojis \\U0001F389 but isn\\'t necessary 🎉'"		string:"Long unicode escape can represent emojis 🎉'"		open:Token(10)
35		Space		Unknown		639:640		023:078		"\n"
