#		kind		offsets		linecol		text
0		Punct		000:001		001:001		";"
1		Space		001:002		001:002		" "
2		Punct		002:003		001:003		","
3		Space		003:004		001:004		" "
4		Punct		004:005		001:005		"/"
5		Space		005:006		001:006		" "
6		Punct		006:007		001:007		":"
7		Space		007:008		001:008		" "
8		Punct		008:009		001:009		"="
9		Space		009:010		001:010		" "
10		Punct		010:011		001:011		"-"
11		Space		011:012		001:012		" "
12		Punct		012:013		001:013		"-"
13		Number		013:015		001:014		"10"		int:10
14		Space		015:016		001:016		" "
15		Ident		016:017		001:017		"a"
16		Punct		017:018		001:018		"."
17		Ident		018:019		001:019		"b"
18		Punct		019:020		001:020		"."
19		Ident		020:021		001:021		"c"
20		Space		021:022		001:022		"\n"
21		Unrecognized		022:023		002:001		"!"
22		Space		023:024		002:002		" "
23		Unrecognized		024:025		002:003		"@"
24		Space		025:026		002:004		" "
25		Unrecognized		026:027		002:005		"#"
26		Space		027:028		002:006		" "
27		Unrecognized		028:029		002:007		"$"
28		Space		029:030		002:008		" "
29		Unrecognized		030:031		002:009		"%"
30		Space		031:032		002:010		" "
31		Unrecognized		032:033		002:011		"^"
32		Space		033:034		002:012		" "
33		Unrecognized		034:035		002:013		"&"
34		Space		035:036		002:014		" "
35		Unrecognized		036:037		002:015		"*"
36		Space		037:038		002:016		" "
37		Unrecognized		038:039		002:017		"+"
38		Space		039:040		002:018		" "
39		Ident		040:041		002:019		"_"
40		Space		041:042		002:020		"\n"
