#		kind		keyword		offsets		linecol		text
0		Comment		Unknown		000:046		001:001		"// Copyright 2020-2024 Buf Technologies, Inc.\n"
1		Comment		Unknown		046:049		002:001		"//\n"
2		Comment		Unknown		049:116		003:001		"// Licensed under the Apache License, Version 2.0 (the \"License\");\n"
3		Comment		Unknown		116:184		004:001		"// you may not use this file except in compliance with the License.\n"
4		Comment		Unknown		184:227		005:001		"// You may obtain a copy of the License at\n"
5		Comment		Unknown		227:230		006:001		"//\n"
6		Comment		Unknown		230:281		007:001		"//      http://www.apache.org/licenses/LICENSE-2.0\n"
7		Comment		Unknown		281:284		008:001		"//\n"
8		Comment		Unknown		284:355		009:001		"// Unless required by applicable law or agreed to in writing, software\n"
9		Comment		Unknown		355:424		010:001		"// distributed under the License is distributed on an \"AS IS\" BASIS,\n"
10		Comment		Unknown		424:500		011:001		"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"
11		Comment		Unknown		500:571		012:001		"// See the License for the specific language governing permissions and\n"
12		Comment		Unknown		571:605		013:001		"// limitations under the License.\n"
13		Space		Unknown		605:606		014:001		"\n"
14		Ident		Syntax		606:612		015:001		"syntax"
15		Space		Unknown		612:613		015:007		" "
16		Punct		Eq		613:614		015:008		"="
17		Space		Unknown		614:615		015:009		" "
18		String		Unknown		615:623		015:010		"\"proto3\""		string:"proto3"
19		Punct		Semi		623:624		015:018		";"
20		Space		Unknown		624:626		015:019		"\n\n"
21		Ident		Package		626:633		017:001		"package"
22		Space		Unknown		633:634		017:008		" "
23		Ident		Unknown		634:637		017:009		"foo"
24		Punct		Dot		637:638		017:012		"."
25		Ident		Unknown		638:641		017:013		"bar"
26		Punct		Semi		641:642		017:016		";"
27		Space		Unknown		642:644		017:017		"\n\n"
28		Comment		Unknown		644:670		019:001		"// This is a doc comment.\n"
29		Ident		Message		670:677		020:001		"message"
30		Space		Unknown		677:678		020:008		" "
31		Ident		Unknown		678:681		020:009		"Foo"
32		Space		Unknown		681:682		020:012		" "
33		Punct		Braces		682:786		020:013		"{"		close:Token(76)
34		Space		Unknown		683:688		020:014		"\n    "
35		Ident		Int64		688:693		021:005		"int64"
36		Space		Unknown		693:694		021:010		" "
37		Ident		Unknown		694:695		021:011		"x"
38		Space		Unknown		695:696		021:012		" "
39		Punct		Eq		696:697		021:013		"="
40		Space		Unknown		697:698		021:014		" "
41		Number		Unknown		698:699		021:015		"1"		num:1
42		Punct		Semi		699:700		021:016		";"
43		Space		Unknown		700:705		021:017		"\n    "
44		Ident		String		705:711		022:005		"string"
45		Space		Unknown		711:712		022:011		" "
46		Ident		Unknown		712:713		022:012		"y"
47		Space		Unknown		713:714		022:013		" "
48		Punct		Eq		714:715		022:014		"="
49		Space		Unknown		715:716		022:015		" "
50		Number		Unknown		716:717		022:016		"2"		num:2
51		Space		Unknown		717:718		022:017		" "
52		Punct		Brackets		718:783		022:018		"["		close:Token(73)
53		Space		Unknown		719:728		022:019		"\n        "
54		Punct		Parens		728:739		023:009		"("		close:Token(58)
55		Ident		Unknown		729:731		023:010		"my"
56		Punct		Dot		731:732		023:012		"."
57		Ident		Option		732:738		023:013		"option"
58		Punct		Parens		728:739		023:009		")"		open:Token(54)
59		Punct		Dot		739:740		023:020		"."
60		Ident		Unknown		740:745		023:021		"thing"
61		Space		Unknown		745:746		023:026		" "
62		Punct		Eq		746:747		023:027		"="
63		Space		Unknown		747:748		023:028		" "
64		Number		Unknown		748:752		023:029		"0xff"		num:255		pre:"0x"
65		Punct		Comma		752:753		023:033		","
66		Space		Unknown		753:762		023:034		"\n        "
67		Ident		Unknown		762:766		024:009		"blah"
68		Space		Unknown		766:767		024:013		" "
69		Punct		Eq		767:768		024:014		"="
70		Space		Unknown		768:769		024:015		" "
71		String		Unknown		769:777		024:016		"\"\\0\\n\\t\""		string:"\x00\n\t"
72		Space		Unknown		777:782		024:024		"\n    "
73		Punct		Brackets		718:783		022:018		"]"		open:Token(52)
74		Punct		Semi		783:784		025:006		";"
75		Space		Unknown		784:785		025:007		"\n"
76		Punct		Braces		682:786		020:013		"}"		open:Token(33)
